CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,COMPLAINT,ADDRESS,COUNCILDISTRICT,LOCATION,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
2020 072823-CC,COVID-19,Parks,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,COVID-19/Education Provided,COVID19SOCIAL DISTANCINGEMA LONG PARK,1600 CITY PARK ROAD,10,POINT (-97.83963324 30.32737861),10,31,5,,540,6
2020 072953-CC,COVID-19,Parks,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,Cancelled,COVID19SOCIAL DISTANCINGMUELLER PARK,4550 MUELLER BOULEVARD,9,POINT (-97.7073445 30.29720719),9,11,10,38,309,33
2020 072660-CC,COVID-19,Restaurant,Other,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,COVID-19/Education Provided,SR NUMBER: 20-00184242,10515 N MOPAC EXPY SVRD NB BUNIT  100,7,POINT (-97.73244813 30.39160434),7,51,7,45,217,18
2020 072818-CC,COVID-19,Other,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCIAL DISTANCINGLANDDEY HEADQUARTERS,5508 W US 290 HIGHWAY WB,8,POINT (-97.84144441 30.2376936),8,32,2,11,126,49
2020 072270-CC,COVID-19,Residential,Over Occupancy,,,05/10/2020 12:00:00 AM,05/11/2020 12:00:00 AM,Closed/Duplicate Case,Residential/ApartmentLocation Name:  Short Term RentalOver occupancy.,808 ALGARITA AVENUE,9,POINT (-97.74586049 30.24051302),9,9,10,49,217,75
2020 072805-CC,COVID-19,Other,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .. social distancing at Far Out Lounge,8504 S CONGRESS AVENUE,2,POINT (-97.78580164 30.17273225),2,5,4,,329,22
2020 096992-CC,COVID-19,Construction,Face-Covering,Non-Referral,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,FACE MASK VIOLATION: The North Braker Home Depot location is not making wear mask. The people are coming in to the store and the loading docks not wearing masksCovid 19,10005 N MOPAC EXPY SVRD NB,,POINT (-88.448709 24.923983),,,,,,
2020 072879-CC,COVID-19,Other,Face-Covering,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,Cancelled,COVID19EMPLOYEES NOT WEARING MASKSHORT STOP,6603 BERKMAN DRIVE,1,POINT (-97.68898814 30.31913981),1,19,8,84,309,33
2020 072941-CC,COVID-19,Parks,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,City-Owned Property/No Violation(s) Found,COVID19SOCIAL DISTANCINGPEASE PARK,1100 KINGSBURY STREET,9,POINT (-97.75138175 30.28117529),9,26,10,12,217,69
2020 095364-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19Face MasksUHaul,4021 N IH 35 SVRD NB,9,POINT (-97.71747105 30.29715472),9,11,10,63,309,74
2020 097001-CC,COVID-19,Construction,Face-Covering,Non-Referral,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,FACE COVERING hebCOVID 19,503 CANYON RIDGE DR,,POINT (-88.448709 24.923983),,,,,,
2020 086394-CC,COVID-19,Other,Social Distancing,,,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,COVID-19/Education Provided,COVID19SOCIAL DISTANCINGComments:  caller stated that the VIP room needs to be checked as they are not social distancing. stated that he doesn't believe they checked properly. that the girls don't wear masks and doing full contact dances. caller stated they need to go into the VIP room. caller stated there are chairs around the stages and that's the only way to keep distance between the dancer and the customer. CHECK CONDITIONS.,4134 FELTER LANE UNIT  A,2,POINT (-97.7058556 30.19668122),2,25,4,,484,20
2020 072710-CC,COVID-19,Other,Over Occupancy,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SR #: 20-00185293,10401 RESEARCH BLVD SVRD NB,7,POINT (-97.74388078 30.39660736),7,51,7,32,540,58
2020 072837-CC,COVID-19,Residential,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,COVID-19/Education Provided,COVID19SOCIAL DISTANCINGSEDONA TRACE HEALTH AND WELLINESS,8324 CAMERON ROAD,4,POINT (-97.68225476 30.34022032),4,47,9,17,63,78
2020 072936-CC,COVID-19,Residential,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCIAL DISTANCINGTHROWING PARTIES AND NO SOCIAL DISTANCING / FACE MASK,1112 SPUR STREET,3,POINT (-97.68904619 30.2703439),3,4,3,34,309,62
2020 072908-CC,COVID-19,Parks,Social Distancing,,,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCIAL DISTANCINGTRAILHEAD PARK,10984 BOULDER LANE,6,POINT (-97.82129703 30.43898373),6,23,6,,540,60
2020 097000-CC,COVID-19,Construction,Face-Covering,Non-Referral,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,NO FACE MASK COVID 19,2105 HANCOCK DRIVE,7,POINT (-97.73979576 30.32199571),7,12,7,74,217,7
2020 096991-CC,COVID-19,Other,Face-Covering,,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"Caller went to 2 UbreakIFix locations, and there was a sign outside of each, but neither employees nor customers were wearing masks, Caller asked about it to one of the employees, who shrugged, and went to the Northcross location, where everything was fine.",501 W 15TH STREET,9,POINT (-97.74442906 30.27801515),9,52,10,60,217,24
2020 096964-CC,COVID-19,Other,Face-Covering,,,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Face Covering Non-Compliancecovid 19,1312 S LAMAR BOULEVARD,5,POINT (-97.76344947 30.25362653),5,9,1,2,217,75
2020 055026-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,13129 THOME VALLEY DRIVE,2,POINT (-97.61475302 30.17194021),2,45,4,,484,45
2020 055017-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,1221 S CONGRESS AVENUE,9,POINT (-97.74865605 30.25142463),9,9,10,30,217,75
2020 054330-CC,COVID-19,Other,Over Occupancy,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,700 W 6TH STREET,9,POINT (-97.74968962 30.27020611),9,52,10,60,217,24
2020 055014-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,1908 SAN GABRIEL STREET,9,POINT (-97.74856974 30.28441351),9,43,10,44,217,50
2020 055029-CC,COVID-19,Other,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,2100 ALAMO STREET,1,POINT (-97.71995395 30.28239197),1,11,8,27,309,74
2020 055042-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 Over Occupancy,9111 S 1ST STREET,5,POINT (-97.80018676 30.17145785),5,37,1,,329,22
2020 055020-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 over occupancy,2104 RED STONE LANE,7,POINT (-97.69561467 30.41864473),7,24,7,,540,36
2020 055024-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,7300 COLONY PARK DRIVE,1,POINT (-97.64108498 30.30521429),1,46,8,,309,8
2020 059994-CC,COVID-19,Construction,Social Distancing,Non-Referral,,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19construction crew/ social distancing/ over occupancy,9442 N CAPITAL OF TEXAS HIGHWAY SB,10,POINT (-97.74783147 30.38985505),10,51,5,,540,58
2020 055027-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,8311 RESEARCH BLVD SVRD NB,4,POINT (-97.71498647 30.35640453),4,22,9,16,63,18
2020 055015-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,5802 BLYTHEWOOD DRIVE,2,POINT (-97.78229315 30.20524227),2,5,4,1,373,23
2020 055019-CC,COVID-19,Other,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,2819 RIO GRANDE STREET,9,POINT (-97.74367204 30.29507121),9,43,10,44,217,50
2020 055023-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 over occupancy,11130 READVILL LANE,8,POINT (-97.89294798 30.18505324),8,35,2,,531,10
2020 055051-CC,COVID-19,Other,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,3909 N IH 35 SVRD NB,9,POINT (-97.71765446 30.29622062),9,11,10,63,309,74
2020 055039-CC,COVID-19,Other,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 over occupancy,1100 CENTER RIDGE DRIVE,7,POINT (-97.6712383 30.41804016),7,47,7,,540,78
2020 055022-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,1913 GARDEN STREET,3,POINT (-97.72498862 30.25387469),3,7,3,66,309,1
2020 073256-CC,COVID-19,Other,Over Occupancy,,,05/12/2020 12:00:00 AM,05/12/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SR #: 20-00186650,4800 S IH 35 SVRD SB,3,POINT (-97.7583159 30.207507),3,5,3,5,373,23
2020 055025-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 over occupancy,7601 N LAMAR BOULEVARD NB,4,POINT (-97.71402423 30.344044),4,40,9,86,217,3
2020 055048-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,1408 BROADMOOR DRIVE,4,POINT (-97.70192251 30.30865476),4,19,9,84,309,33
2020 106836-CC,COVID-19,Residential/Apartment,Social Distancing,,,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Received via Mobile App SR# 20-00291605: Large group of men several streets away. Not wearing masks or social distancing. Regular occurrence.  COVID-19 .Social Distancing,5802 COUGAR DRIVE,2,POINT (-97.78621797 30.20782318),2,5,4,65,373,23
2020 108381-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,A lot of people walking thru the mall and no one enforcing anyone to wear their mask.  COVID-19 .Face Covering Non-Compliance - Business,2901 S CAPITAL OF TEXAS HWY NB,,POINT (-88.448709 24.923983),,,,,,
2020 073153-CC,COVID-19,Other,Over Occupancy,,,05/12/2020 12:00:00 AM,05/12/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SR #: 20-00186453,7725 BURNET ROAD,7,POINT (-97.73140623 30.35400761),7,3,7,89,217,16
2020 108470-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,07/21/2020 12:00:00 AM,,,caller is reporting that the employee are not wearing face mask and are not keeping social distancing  COVID-19 .Social Distancing,10207 LAKE CREEK PARKWAY,6,POINT (-97.7928205 30.46132721),6,30,6,,540,46
2020 055033-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,2211 W ANDERSON LANE,7,POINT (-97.7297503 30.35520066),7,3,7,89,217,16
2020 055018-CC,COVID-19,Restaurant,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,1701 E CESAR CHAVEZ STREET,3,POINT (-97.72644492 30.25763079),3,7,3,35,309,1
2020 105717-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,COVID-19/Verbal Warning Issued,no shield for the employees and not wearing any mask and there is no protection per caller  COVID-19 .Face Covering Non-Compliance - Business,11657 RESEARCH BLVD.,,POINT (-88.448709 24.923983),,,,,,
2020 085518-CC,COVID-19,Other,Social Distancing,,,06/08/2020 12:00:00 AM,06/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 Social Distancing,4134 FELTER LANE UNIT  A,2,POINT (-97.7058556 30.19668122),2,25,4,,484,20
2020 055021-CC,COVID-19,Other,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 over occupancy,906 E 5TH STREET,3,POINT (-97.73342611 30.26468701),3,7,3,35,309,1
2020 106102-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"laundromat, caller saw the worker not wearing a mask and then as soon as another customer saw the worker not wearing a mask they took theirs off as well, caller was there for about 2 hours and she still didnt put her mask on  COVID-19 .Face Covering Non-Compliance - Business",11330 MENCHACA ROAD,5,POINT (-97.83365254 30.15537411),5,37,1,,473,22
2020 106059-CC,COVID-19,Construction Site,Face Covering Non-Compliance - Business,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Face Covering Non-Compliance - Business,7113 SPURLOCK DRIVE,10,POINT (-97.76265802 30.35963797),10,17,5,,217,66
2020 050326-CC,COVID-19,Other,Social Distancing,,,03/25/2020 12:00:00 AM,03/25/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19,3800 QUICK HILL ROAD BLDG  1,,POINT (-97.68797922 30.46997538),,28,,,540,48
2020 059615-CC,COVID-19,Construction,Social Distancing,Non-Referral,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 Active Construction,3104-1/2 GRACIE KILTZ LANE,7,POINT (-97.72332041 30.39542975),7,22,7,45,217,18
2020 106030-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Store caller stated they arent wearing them or they are only covering the mouth area  COVID-19 .Face Covering Non-Compliance - Business,5000 SPRINGDALE ROAD,1,POINT (-97.67817527 30.29340732),1,19,8,67,309,33
2020 097526-CC,COVID-19,Other,Social Distancing,,,07/01/2020 12:00:00 AM,07/01/2020 12:00:00 AM,Cancelled,Received via Mobile App SR# 20-00262893: Pontoon Full of People Pontoon boats are operating with too many people. Im scared about the 4th of July.,1204 ROCKCLIFF ROAD,10,POINT (-97.78207596 30.33150758),10,10,5,,217,29
2020 105054-CC,COVID-19,Residential/Apartment,Over Occupancy,,,07/15/2020 12:00:00 AM,07/16/2020 12:00:00 AM,Referred to Appropriate Agency,Caller knows a person who has tested positive for Covid and is hosting parties.  Caller states the person was diagnosed and still goes to parties and clubs without quarantine.  COVID-19 .Over Occupancy,11605 STAR VIEW TRAIL,6,POINT (-97.81740717 30.45173968),6,39,6,,540,28
2020 105435-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/15/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Caller reports some staff at this establish were not wearing a mask when his ice cream cone was brought out to him. he says that staff member did not speak English so it was hard to communicate it to her that she should be wearing a mask.  COVID-19 .Face Covering Non-Compliance - Business,5762 N MOPAC EXPY NB,,POINT (-88.448709 24.923983),,,,,,
2020 059620-CC,COVID-19,Other,Over Occupancy,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,COVID-19/Education Provided,Covid 19; 6 foot spacing,2401-1/2 ESPERANZA CROSSING,7,POINT (-97.71821196 30.39440327),7,22,7,45,217,18
2020 059627-CC,COVID-19,Other,Non-essential Business,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 195555 N Lamar Blvd suite e-117 / The Cleaning Authority In Austin and Round Rock / Our company has had employees infected and we are still going into 3-5 homes a day for non-essential customers.,5555 N LAMAR BOULEVARD,4,POINT (-97.72572372 30.32369615),4,6,9,68,217,65
2020 059629-CC,COVID-19,Other,Face-Covering,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID 19Amazon warehouse / is providing masks etc but it not requiring their use, leading to people not using them, not following distancing guidelines",4616 W HOWARD LANE,7,POINT (-97.70933359 30.44519101),7,28,7,,540,48
2020 050177-CC,COVID-19,Residential,Social Distancing,,,03/25/2020 12:00:00 AM,03/25/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19,5208 W. PARMER LN,,POINT (-88.448709 24.923983),,,,,,
2020 050187-CC,COVID-19,Residential,Social Distancing,,,03/25/2020 12:00:00 AM,03/25/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19,12101 BUCKINGHAM GATE ROAD,8,POINT (-97.85107779 30.15201256),8,37,2,,369,22
2020 054322-CC,COVID-19,Residential,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,4503 BULL CREEK ROAD,7,POINT (-97.75304428 30.32087412),7,17,7,53,217,66
2020 059617-CC,COVID-19,Construction,Social Distancing,Non-Referral,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 Active Construction,501 BRAZOS STREET,9,POINT (-97.74145118 30.26697836),9,52,10,60,217,24
2020 073348-CC,COVID-19,Other,Social Distancing,,,05/12/2020 12:00:00 AM,05/12/2020 12:00:00 AM,COVID-19/Education Provided,COVID19SOCIAL DISTANCING / OR WEARING MASKBUGET RENTAL,700 E 11TH STREET,1,POINT (-97.73378932 30.27111367),1,52,8,60,217,24
2020 050092-CC,COVID-19,Residential,Social Distancing,,,03/25/2020 12:00:00 AM,03/25/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19,3506 MENCHACA ROAD UNIT  1,5,POINT (-97.78344372 30.23842835),5,9,1,22,217,75
2020 103092-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/12/2020 12:00:00 AM,07/14/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 .Face Covering Non-Compliance - Business,517 S LAMAR BOULEVARD,5,POINT (-97.75816108 30.25963912),5,9,1,2,217,75
2020 097655-CC,COVID-19,Other,Face-Covering,,,07/01/2020 12:00:00 AM,07/01/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,mobile app received via sr# 20-00263077,6413 MANOR ROAD,1,POINT (-97.67108592 30.30825497),1,19,8,26,309,33
2020 105734-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,Referred to Appropriate Agency,States that they are closing tomorrow for good so they have a huge rush of people there right now.  COVID-19 .Over Occupancy,5700 GROVER AVENUE,7,POINT (-97.73172673 30.32916191),7,12,7,25,217,7
2020 072171-CC,COVID-19,Parks,Social Distancing,,,05/09/2020 12:00:00 AM,05/09/2020 12:00:00 AM,COVID-19/Education Provided,"Public Area (Park, Street, etc.)Location Name:  BartholomewAPD Teleserve: apd 201301036 - bartholomew park - 35 people by the water splash",5201 BERKMAN DRIVE,4,POINT (-97.69765146 30.30484026),4,19,9,84,309,33
2020 104923-CC,COVID-19,Construction Site,Face Covering Non-Compliance - Business,,,07/15/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Construction Site at this area where employees are not wearing face coverings and they are gathered together. Around 38th to 45th street.  COVID-19 .Face Covering Non-Compliance - Business,W 45TH ST AND BULL CREEK RD,,POINT (-88.448709 24.923983),,,,,,
2020 105408-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/15/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,mobile app sr# 20-00286462Officer hired on duty at heb violating mask orders  COVID-19 .Face Covering Non-Compliance - Business,9414 N LAMAR BOULEVARD,4,POINT (-97.69790118 30.36499055),4,47,9,16,217,18
2020 102791-CC,COVID-19,Residential,Eviction,,,07/10/2020 12:00:00 AM,07/16/2020 12:00:00 AM,COVID-19/Education Provided,He received a voicemail saying that his belongings would be thrown away by his landlord.HIs lease doesnt end until june 2021he came home to the locks changed on his door.  COVID-19 .Eviction,501 E OLTORF STREET,9,POINT (-97.75097121 30.23706248),9,9,10,37,217,75
2020 105504-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,received via mobile app-Halcyon coffee shop at mueller allowing customers to not wear masks and staff is constantly taking theirs off while customers in there.  COVID-19 .Face Covering Non-Compliance - Business,1810 SIMOND AVE,,POINT (-88.448709 24.923983),,,,,,
2020 105241-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/15/2020 12:00:00 AM,07/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Face Covering Non-Compliance - Business,5700 MENCHACA ROAD,5,POINT (-97.79951708 30.21515488),5,5,1,83,373,23
2020 059559-CC,COVID-19,Residential,Social Distancing,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 teens gathering at basketball court violating stay home and not wearing face coverings,7700-1/2 SPRINGFIELD DRIVE,2,POINT (-97.73182268 30.16157989),2,25,4,,484,20
2020 072144-CC,COVID-19,Other,Social Distancing,,,05/09/2020 12:00:00 AM,05/09/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19SOCIAL GATHERING FOR OVER OCCUPANCY/ SOCIAL DISTANCING,1910 SAN JACINTO BOULEVARD,9,POINT (-97.7355384 30.28043281),9,18,10,79,217,50
